arbo-25	Arbo	25	88.0	94.0	84.0	80.0	60.0	43.0
arbo-26	Arbo	26	88.0	94.0	84.0	80.0	60.0	43.0
arbo-27	Arbo	27	88.0	94.0	84.0	80.0	60.0	43.0
arbo-28	Arbo	28	88.0	94.0	84.0	80.0	60.0	43.0
arbo-29	Arbo	29	90.0	95.0	86.0	82.0	63.0	45.0
arbo-30	Arbo	30	90.0	95.0	86.0	82.0	63.0	45.0
arbo-31	Arbo	31	90.0	95.0	86.0	82.0	63.0	45.0
arbo-32	Arbo	32	90.0	95.0	86.0	82.0	63.0	45.0
arbo-33	Arbo	33	90.0	95.0	86.0	82.0	63.0	45.0
arbo-34	Arbo	34	89.0	94.0	85.0	81.0	65.0	46.0
arbo-35	Arbo	35	89.0	94.0	85.0	81.0	65.0	46.0
arbo-36	Arbo	36	89.0	94.0	85.0	81.0	65.0	46.0
arbo-37	Arbo	37	89.0	94.0	85.0	81.0	65.0	46.0
arbo-38	Arbo	38	89.0	94.0	85.0	81.0	65.0	46.0
arbo-39	Arbo	39	87.0	93.0	83.0	79.0	66.0	47.0
arbo-40	Arbo	40	87.0	93.0	83.0	79.0	66.0	47.0
arbo-41	Arbo	41	87.0	93.0	83.0	79.0	66.0	47.0
arbo-42	Arbo	42	87.0	93.0	83.0	79.0	66.0	47.0
arbo-43	Arbo	43	87.0	93.0	83.0	79.0	66.0	47.0
arbo-44	Arbo	44	87.0	93.0	83.0	79.0	66.0	47.0
arbo-45	Arbo	45	87.0	93.0	83.0	79.0	66.0	47.0
arbo-46	Arbo	46	87.0	93.0	83.0	79.0	66.0	47.0
arbo-47	Arbo	47	87.0	93.0	83.0	79.0	66.0	47.0
arbo-48	Arbo	48	87.0	93.0	83.0	79.0	66.0	47.0
arbo-49	Arbo	49	84.0	91.0	80.0	76.0	68.0	48.0
arbo-50	Arbo	50	84.0	91.0	80.0	76.0	68.0	48.0
arbo-51	Arbo	51	84.0	91.0	80.0	76.0	68.0	48.0
arbo-52	Arbo	52	84.0	91.0	80.0	76.0	68.0	48.0
arbo-53	Arbo	53	84.0	91.0	80.0	76.0	68.0	48.0
arbo-54	Arbo	54	84.0	91.0	80.0	76.0	68.0	48.0
arbo-55	Arbo	55	84.0	91.0	80.0	76.0	68.0	48.0
arbo-56	Arbo	56	84.0	91.0	80.0	76.0	68.0	48.0
arbo-57	Arbo	57	84.0	91.0	80.0	76.0	68.0	48.0
arbo-58	Arbo	58	84.0	91.0	80.0	76.0	68.0	48.0
arbo-59	Arbo	59	81.0	89.0	77.0	73.0	69.0	49.0
arbo-60	Arbo	60	81.0	89.0	77.0	73.0	69.0	49.0
arbo-61	Arbo	61	81.0	89.0	77.0	73.0	69.0	49.0
arbo-62	Arbo	62	81.0	89.0	77.0	73.0	69.0	49.0
arbo-63	Arbo	63	81.0	89.0	77.0	73.0	69.0	49.0
arbo-64	Arbo	64	81.0	89.0	77.0	73.0	69.0	49.0
arbo-65	Arbo	65	81.0	89.0	77.0	73.0	69.0	49.0
avian-25	Avian	25	87.0	93.0	83.0	79.0	58.0	42.0
avian-26	Avian	26	87.0	93.0	83.0	79.0	58.0	42.0
avian-27	Avian	27	87.0	93.0	83.0	79.0	58.0	42.0
avian-28	Avian	28	87.0	93.0	83.0	79.0	58.0	42.0
avian-29	Avian	29	89.0	94.0	85.0	81.0	61.0	44.0
avian-30	Avian	30	89.0	94.0	85.0	81.0	61.0	44.0
avian-31	Avian	31	89.0	94.0	85.0	81.0	61.0	44.0
avian-32	Avian	32	89.0	94.0	85.0	81.0	61.0	44.0
avian-33	Avian	33	89.0	94.0	85.0	81.0	61.0	44.0
avian-34	Avian	34	88.0	93.0	84.0	80.0	63.0	45.0
avian-35	Avian	35	88.0	93.0	84.0	80.0	63.0	45.0
avian-36	Avian	36	88.0	93.0	84.0	80.0	63.0	45.0
avian-37	Avian	37	88.0	93.0	84.0	80.0	63.0	45.0
avian-38	Avian	38	88.0	93.0	84.0	80.0	63.0	45.0
avian-39	Avian	39	86.0	92.0	82.0	78.0	64.0	46.0
avian-40	Avian	40	86.0	92.0	82.0	78.0	64.0	46.0
avian-41	Avian	41	86.0	92.0	82.0	78.0	64.0	46.0
avian-42	Avian	42	86.0	92.0	82.0	78.0	64.0	46.0
avian-43	Avian	43	86.0	92.0	82.0	78.0	64.0	46.0
avian-44	Avian	44	86.0	92.0	82.0	78.0	64.0	46.0
avian-45	Avian	45	86.0	92.0	82.0	78.0	64.0	46.0
avian-46	Avian	46	86.0	92.0	82.0	78.0	64.0	46.0
avian-47	Avian	47	86.0	92.0	82.0	78.0	64.0	46.0
avian-48	Avian	48	86.0	92.0	82.0	78.0	64.0	46.0
